operator_id,inbound_attempts,inbound_records,total_inbound_wait_seconds,active_inbound_days,missed_inbound_calls,missed_inbound_rate,avg_inbound_wait_per_call_seconds,share_total_missed_calls,active_inbound_weeks,above_10pct_project_reference,exploratory_30plus_calls_view,operator_rank_by_missed_calls,cumulative_missed_calls,cumulative_missed_share
909134,197,65,6939,63,1,0.005076142131979695,35.223350253807105,0.0010799136069114472,12,False,True,148,835,0.9017278617710583
920666,178,41,1628,40,1,0.0056179775280898875,9.146067415730338,0.0010799136069114472,10,False,True,149,836,0.9028077753779697
917850,166,48,2815,46,1,0.006024096385542169,16.957831325301203,0.0010799136069114472,10,False,True,150,837,0.9038876889848813
937812,166,30,2258,28,1,0.006024096385542169,13.602409638554217,0.0010799136069114472,7,False,True,151,838,0.9049676025917927
925826,157,37,1090,36,1,0.006369426751592357,6.942675159235669,0.0010799136069114472,8,False,True,152,839,0.906047516198704
910540,154,58,3210,56,1,0.006493506493506494,20.844155844155843,0.0010799136069114472,11,False,True,153,840,0.9071274298056156
969272,154,8,1867,7,1,0.006493506493506494,12.123376623376624,0.0010799136069114472,2,False,True,154,841,0.908207343412527
944766,152,12,1374,11,1,0.006578947368421052,9.039473684210526,0.0010799136069114472,4,False,True,155,842,0.9092872570194385
935348,147,22,1136,20,1,0.006802721088435374,7.727891156462585,0.0010799136069114472,5,False,True,156,843,0.9103671706263499
937808,127,30,1371,28,1,0.007874015748031496,10.795275590551181,0.0010799136069114472,7,False,True,157,844,0.9114470842332614
900788,124,42,801,42,1,0.008064516129032258,6.459677419354839,0.0010799136069114472,12,False,True,158,845,0.9125269978401728
900894,110,44,1317,40,1,0.00909090909090909,11.972727272727273,0.0010799136069114472,13,False,True,159,846,0.9136069114470843
904044,108,42,1968,41,1,0.009259259259259259,18.22222222222222,0.0010799136069114472,8,False,True,160,847,0.9146868250539957
890582,104,40,1306,39,1,0.009615384615384616,12.557692307692308,0.0010799136069114472,12,False,True,161,848,0.9157667386609071
932798,98,26,961,22,1,0.01020408163265306,9.806122448979592,0.0010799136069114472,8,False,True,162,849,0.9168466522678186
905430,96,16,666,15,1,0.010416666666666666,6.9375,0.0010799136069114472,3,False,True,163,850,0.91792656587473
937762,96,33,1280,28,1,0.010416666666666666,13.333333333333334,0.0010799136069114472,6,False,True,164,851,0.9190064794816415
936514,81,34,1530,30,1,0.012345679012345678,18.88888888888889,0.0010799136069114472,7,False,True,165,852,0.9200863930885529
921320,79,21,1801,20,1,0.012658227848101266,22.79746835443038,0.0010799136069114472,6,False,True,166,853,0.9211663066954644
890618,73,31,84,30,1,0.0136986301369863,1.1506849315068493,0.0010799136069114472,13,False,True,167,854,0.9222462203023758
895576,70,40,1207,39,1,0.014285714285714285,17.242857142857144,0.0010799136069114472,14,False,True,168,855,0.9233261339092873
933070,67,6,436,5,1,0.014925373134328358,6.507462686567164,0.0010799136069114472,2,False,True,169,856,0.9244060475161987
907982,66,35,1428,34,1,0.015151515151515152,21.636363636363637,0.0010799136069114472,11,False,True,170,857,0.9254859611231101
898422,64,10,467,9,1,0.015625,7.296875,0.0010799136069114472,3,False,True,171,858,0.9265658747300216
940430,64,25,61,23,1,0.015625,0.953125,0.0010799136069114472,7,False,True,172,859,0.927645788336933
937868,63,23,693,22,1,0.015873015873015872,11.0,0.0010799136069114472,7,False,True,173,860,0.9287257019438445
920726,58,22,846,22,1,0.017241379310344827,14.586206896551724,0.0010799136069114472,6,False,True,174,861,0.9298056155507559
905564,57,31,1409,29,1,0.017543859649122806,24.719298245614034,0.0010799136069114472,11,False,True,175,862,0.9308855291576674
937750,57,14,742,13,1,0.017543859649122806,13.017543859649123,0.0010799136069114472,7,False,True,176,863,0.9319654427645788
924960,54,31,1180,26,1,0.018518518518518517,21.85185185185185,0.0010799136069114472,7,False,True,177,864,0.9330453563714903
928886,53,25,454,24,1,0.018867924528301886,8.566037735849056,0.0010799136069114472,8,False,True,178,865,0.9341252699784017
953464,52,17,486,16,1,0.019230769230769232,9.346153846153847,0.0010799136069114472,4,False,True,179,866,0.9352051835853131
960620,50,10,748,9,1,0.02,14.96,0.0010799136069114472,3,False,True,180,867,0.9362850971922246
920902,48,24,2126,23,1,0.020833333333333332,44.291666666666664,0.0010799136069114472,8,False,True,181,868,0.937365010799136
937864,48,18,495,15,1,0.020833333333333332,10.3125,0.0010799136069114472,7,False,True,182,869,0.9384449244060475
